"","Timestamp","Temp","pH","Rainfall"
"1",2019-08-13 13:00:00,24.367,5.07,0
"2",2019-08-13 13:15:00,24.385,5.33,0
"3",2019-08-13 13:30:00,24.42,5.39,0
"4",2019-08-13 13:45:00,24.452,5.4,0
"5",2019-08-13 14:00:00,24.458,5.42,0
"6",2019-08-13 14:15:00,24.471,5.41,0
"7",2019-08-13 14:30:00,24.498,5.4,0
"8",2019-08-13 14:45:00,24.524,5.4,0
"9",2019-08-13 15:00:00,24.582,5.42,0
"10",2019-08-13 15:15:00,24.619,5.42,0
"11",2019-08-13 15:30:00,24.638,5.45,0
"12",2019-08-13 15:45:00,24.701,5.45,0
"13",2019-08-13 16:00:00,24.771,5.45,0
"14",2019-08-13 16:15:00,24.781,5.45,0
"15",2019-08-13 16:30:00,24.781,5.42,0
"16",2019-08-13 16:45:00,24.782,5.42,0
"17",2019-08-13 17:00:00,24.792,5.43,0
"18",2019-08-13 17:15:00,24.824,5.44,0
"19",2019-08-13 17:30:00,24.85,5.44,0
"20",2019-08-13 17:45:00,24.862,5.44,0
"21",2019-08-13 18:00:00,24.864,5.44,0
"22",2019-08-13 18:15:00,24.868,5.45,0
"23",2019-08-13 18:30:00,24.861,5.46,0
"24",2019-08-13 18:45:00,24.868,5.49,0
"25",2019-08-13 19:00:00,24.874,5.46,0
"26",2019-08-13 19:15:00,24.883,5.47,0
"27",2019-08-13 19:30:00,24.89,5.44,0
"28",2019-08-13 19:45:00,24.893,5.48,0
"29",2019-08-13 20:00:00,24.891,5.46,0
"30",2019-08-13 20:15:00,24.887,5.46,0
"31",2019-08-13 20:30:00,24.882,5.46,0
"32",2019-08-13 20:45:00,24.877,5.46,0
"33",2019-08-13 21:00:00,24.87,5.45,0
"34",2019-08-13 21:15:00,24.865,5.48,0
"35",2019-08-13 21:30:00,24.857,5.47,0
"36",2019-08-13 21:45:00,24.851,5.47,0
"37",2019-08-13 22:00:00,24.842,5.49,0
"38",2019-08-13 22:15:00,24.833,5.48,0
"39",2019-08-13 22:30:00,24.823,5.48,0
"40",2019-08-13 22:45:00,24.813,5.48,0
"41",2019-08-13 23:00:00,24.802,5.46,0
"42",2019-08-13 23:15:00,24.79,5.46,0
"43",2019-08-13 23:30:00,24.778,5.48,0.508
"44",2019-08-13 23:45:00,24.766,5.47,0
"45",2019-08-14 00:00:00,24.753,5.46,0
"46",2019-08-14 00:15:00,24.742,5.47,0
"47",2019-08-14 00:30:00,24.731,5.47,0
"48",2019-08-14 00:45:00,24.72,5.47,0
"49",2019-08-14 01:00:00,24.711,5.45,2.286
"50",2019-08-14 01:15:00,24.699,5.5,3.556
"51",2019-08-14 01:30:00,24.689,5.48,0
"52",2019-08-14 01:45:00,24.68,5.49,0
"53",2019-08-14 02:00:00,24.671,5.47,0.254
"54",2019-08-14 02:15:00,24.661,5.47,0
"55",2019-08-14 02:30:00,24.651,5.48,0
"56",2019-08-14 02:45:00,24.641,5.48,0
"57",2019-08-14 03:00:00,24.629,5.48,0.254
"58",2019-08-14 03:15:00,24.617,5.49,0
"59",2019-08-14 03:30:00,24.606,5.48,0.254
"60",2019-08-14 03:45:00,24.601,5.48,0
"61",2019-08-14 04:00:00,24.594,5.48,0
"62",2019-08-14 04:15:00,24.585,5.5,0.254
"63",2019-08-14 04:30:00,24.579,5.49,0
"64",2019-08-14 04:45:00,24.573,5.49,0
"65",2019-08-14 05:00:00,24.568,5.5,1.524
"66",2019-08-14 05:15:00,24.548,5.45,2.032
"67",2019-08-14 05:30:00,24.541,5.44,4.064
"68",2019-08-14 05:45:00,24.541,5.43,10.67
"69",2019-08-14 06:00:00,24.54,5.43,1.778
"70",2019-08-14 06:15:00,24.539,5.43,0.762
"71",2019-08-14 06:30:00,24.538,5.45,3.048
"72",2019-08-14 06:45:00,24.537,5.48,2.032
"73",2019-08-14 07:00:00,24.539,5.44,5.334
"74",2019-08-14 07:15:00,24.538,5.47,12.7
"75",2019-08-14 07:30:00,24.536,5.44,9.4
"76",2019-08-14 07:45:00,24.535,5.44,5.08
"77",2019-08-14 08:00:00,24.533,5.45,4.064
"78",2019-08-14 08:15:00,24.531,5.45,1.016
"79",2019-08-14 08:30:00,24.53,5.43,1.016
"80",2019-08-14 08:45:00,24.531,5.44,1.27
"81",2019-08-14 09:00:00,24.523,5.44,1.016
"82",2019-08-14 09:15:00,24.511,5.37,0.762
"83",2019-08-14 09:30:00,24.497,5.32,5.842
"84",2019-08-14 09:45:00,24.446,4.93,4.572
"85",2019-08-14 10:00:00,24.458,5.09,7.112
"86",2019-08-14 10:15:00,24.467,5.01,6.604
"87",2019-08-14 10:30:00,24.427,5.04,2.794
"88",2019-08-14 10:45:00,24.414,5.05,1.778
"89",2019-08-14 11:00:00,24.363,5.16,1.27
"90",2019-08-14 11:15:00,24.193,5.07,1.016
"91",2019-08-14 11:30:00,24.117,4.97,1.016
"92",2019-08-14 11:45:00,24.121,4.76,1.27
"93",2019-08-14 12:00:00,24.158,4.89,1.27
"94",2019-08-14 12:15:00,24.196,4.93,0.762
"95",2019-08-14 12:30:00,24.221,4.97,0.762
"96",2019-08-14 12:45:00,24.246,4.96,0.254
"97",2019-08-14 13:00:00,24.258,4.95,0
"98",2019-08-14 13:15:00,24.277,4.99,0
"99",2019-08-14 13:30:00,24.227,4.99,0
"100",2019-08-14 13:45:00,24.207,4.98,0
"101",2019-08-14 14:00:00,24.158,4.95,0
"102",2019-08-14 14:15:00,24.07,4.74,0
"103",2019-08-14 14:30:00,24.052,4.79,0
"104",2019-08-14 14:45:00,24.087,4.81,0
"105",2019-08-14 15:00:00,24.125,4.81,0
"106",2019-08-14 15:15:00,24.15,4.84,0
"107",2019-08-14 15:30:00,24.179,4.87,0
"108",2019-08-14 15:45:00,24.19,4.87,0
"109",2019-08-14 16:00:00,24.199,4.88,0
"110",2019-08-14 16:15:00,24.204,4.9,0
"111",2019-08-14 16:30:00,24.219,4.91,0
"112",2019-08-14 16:45:00,24.237,4.92,0
"113",2019-08-14 17:00:00,24.257,4.93,0
"114",2019-08-14 17:15:00,24.278,4.95,0
"115",2019-08-14 17:30:00,24.299,4.94,0
"116",2019-08-14 17:45:00,24.32,4.95,0
"117",2019-08-14 18:00:00,24.345,5,0
"118",2019-08-14 18:15:00,24.362,5.01,0
"119",2019-08-14 18:30:00,24.372,5.02,0
"120",2019-08-14 18:45:00,24.387,5.04,0
"121",2019-08-14 19:00:00,24.404,5.03,0
"122",2019-08-14 19:15:00,24.418,5.04,0
"123",2019-08-14 19:30:00,24.432,5.05,0
"124",2019-08-14 19:45:00,24.443,5.06,0
"125",2019-08-14 20:00:00,24.452,5.06,0
"126",2019-08-14 20:15:00,24.457,5.07,0
"127",2019-08-14 20:30:00,24.461,5.08,0
"128",2019-08-14 20:45:00,24.457,5.07,0
"129",2019-08-14 21:00:00,24.456,5.1,0
"130",2019-08-14 21:15:00,24.45,5.11,0
